Time_stamp	epoch	train_loss	val_loss	epoch_time	learing_rate
1	0.315941	0.216684	115.926s	0.001	2020-04-22 13:44:13
2	0.199236	0.214955	118.013s	0.001	2020-04-22 13:46:11
3	0.194192	0.21398	120.08s	0.001	2020-04-22 13:48:11
4	0.189766	0.217993	123.776s	0.001	2020-04-22 13:50:15
5	0.18732	0.220157	115.062s	0.001	2020-04-22 13:52:10
6	0.185251	0.218546	118.975s	0.001	2020-04-22 13:54:09
7	0.184842	0.214779	117.121s	0.001	2020-04-22 13:56:07
8	0.183453	0.220905	118.744s	0.001	2020-04-22 13:58:05
9	0.183187	0.22039	108.731s	0.001	2020-04-22 13:59:54
10	0.181556	0.218616	101.015s	0.001	2020-04-22 14:01:35
11	0.180964	0.214126	98.4761s	0.001	2020-04-22 14:03:14
12	0.180333	0.211959	103.771s	0.001	2020-04-22 14:04:58
13	0.180086	0.209475	108.726s	0.001	2020-04-22 14:06:46
14	0.179879	0.209766	118.045s	0.001	2020-04-22 14:08:45
15	0.179032	0.211036	114.797s	0.001	2020-04-22 14:10:39
16	0.1789	0.208039	108.829s	0.001	2020-04-22 14:12:28
17	0.17862	0.208814	108.487s	0.001	2020-04-22 14:14:17
18	0.178452	0.206593	118.611s	0.001	2020-04-22 14:16:15
19	0.178012	0.204423	123.451s	0.001	2020-04-22 14:18:19
20	0.177805	0.204472	103.541s	0.001	2020-04-22 14:20:03
21	0.177541	0.204175	92.4374s	0.001	2020-04-22 14:21:35
22	0.177307	0.204677	106.968s	0.001	2020-04-22 14:23:22
23	0.177623	0.203473	113.284s	0.001	2020-04-22 14:25:15
24	0.176977	0.202852	118.574s	0.001	2020-04-22 14:27:14
25	0.176995	0.202744	112.387s	0.001	2020-04-22 14:29:06
26	0.176817	0.205449	105.431s	0.001	2020-04-22 14:30:52
27	0.17647	0.202991	103.547s	0.001	2020-04-22 14:32:36
28	0.175883	0.205233	98.545s	0.001	2020-04-22 14:34:14
29	0.176825	0.202693	96.6106s	0.001	2020-04-22 14:35:51
30	0.176369	0.200281	100.087s	0.001	2020-04-22 14:37:31
31	0.176346	0.200454	93.7802s	0.001	2020-04-22 14:39:05
32	0.175804	0.199287	93.8454s	0.001	2020-04-22 14:40:39
33	0.175894	0.198278	98.3543s	0.001	2020-04-22 14:42:17
34	0.175379	0.199323	100.899s	0.001	2020-04-22 14:43:58
35	0.17521	0.19827	119.543s	0.001	2020-04-22 14:45:58
36	0.17494	0.200494	147.486s	0.001	2020-04-22 14:48:25
37	0.175517	0.19875	244.516s	0.001	2020-04-22 14:52:30
38	0.175463	0.197488	376.073s	0.001	2020-04-22 14:58:46
39	0.175024	0.200791	321.883s	0.001	2020-04-22 15:04:08
40	0.174959	0.199039	99.4436s	0.001	2020-04-22 15:05:47
41	0.174466	0.200941	99.7255s	0.001	2020-04-22 15:07:27
42	0.173887	0.199422	102.036s	0.001	2020-04-22 15:09:09
43	0.174198	0.198915	155.748s	0.001	2020-04-22 15:11:45
44	0.174136	0.197567	158.424s	0.001	2020-04-22 15:14:24
45	0.173829	0.20022	163.139s	0.001	2020-04-22 15:17:07
46	0.173794	0.197285	161.912s	0.001	2020-04-22 15:19:49
47	0.173707	0.196503	137.625s	0.001	2020-04-22 15:22:06
48	0.1736	0.19375	97.0553s	0.001	2020-04-22 15:23:44
49	0.173359	0.195582	95.2732s	0.001	2020-04-22 15:25:19
50	0.173253	0.195409	89.3552s	0.001	2020-04-22 15:26:48
51	0.173084	0.201329	94.5429s	0.001	2020-04-22 15:28:23
52	0.173399	0.195898	91.345s	0.001	2020-04-22 15:29:54
53	0.17313	0.196215	96.2955s	0.001	2020-04-22 15:31:31
54	0.172765	0.195552	91.7105s	0.001	2020-04-22 15:33:02
55	0.172584	0.193085	95.6486s	0.001	2020-04-22 15:34:38
56	0.172626	0.194805	96.2943s	0.001	2020-04-22 15:36:14
57	0.172526	0.190727	94.983s	0.001	2020-04-22 15:37:49
58	0.172273	0.19325	97.9563s	0.001	2020-04-22 15:39:27
59	0.172602	0.196327	114.697s	0.001	2020-04-22 15:41:22
60	0.172575	0.191917	101.091s	0.001	2020-04-22 15:43:03
61	0.172707	0.191879	211.849s	0.001	2020-04-22 15:46:35
62	0.172027	0.194635	293.136s	0.001	2020-04-22 15:51:28
63	0.17208	0.192798	104.368s	0.001	2020-04-22 15:53:13
64	0.171325	0.194112	95.4502s	0.001	2020-04-22 15:54:48
65	0.171984	0.191087	93.5603s	0.001	2020-04-22 15:56:22
66	0.171496	0.1932	92.6224s	0.001	2020-04-22 15:57:55
67	0.171583	0.188974	94.0632s	0.001	2020-04-22 15:59:29
68	0.171601	0.191488	91.6941s	0.001	2020-04-22 16:01:01
69	0.170872	0.190905	96.0217s	0.001	2020-04-22 16:02:37
70	0.171441	0.190994	91.9302s	0.001	2020-04-22 16:04:09
71	0.171467	0.192046	96.4233s	0.001	2020-04-22 16:05:45
72	0.171205	0.189646	96.2939s	0.001	2020-04-22 16:07:21
73	0.17129	0.191285	92.8474s	0.001	2020-04-22 16:08:54
74	0.17132	0.191027	96.7229s	0.001	2020-04-22 16:10:31
75	0.171058	0.190326	93.6459s	0.001	2020-04-22 16:12:05
76	0.171105	0.189008	97.6893s	0.001	2020-04-22 16:13:43
77	0.170777	0.187738	94.5148s	0.001	2020-04-22 16:15:17
78	0.170924	0.189439	98.9114s	0.001	2020-04-22 16:16:56
79	0.170648	0.189951	160.52s	0.001	2020-04-22 16:19:37
80	0.170443	0.193141	126.466s	0.001	2020-04-22 16:21:43
81	0.170749	0.188819	264.744s	0.001	2020-04-22 16:26:08
82	0.170982	0.190006	170.076s	0.001	2020-04-22 16:28:58
83	0.170414	0.190253	206.941s	0.001	2020-04-22 16:32:25
84	0.170249	0.190324	309.478s	0.001	2020-04-22 16:37:35
85	0.17028	0.189169	173.782s	0.001	2020-04-22 16:40:28
86	0.170437	0.193373	109.545s	0.001	2020-04-22 16:42:18
87	0.170812	0.188123	211.94s	0.001	2020-04-22 16:45:50
88	0.170143	0.189743	330.605s	0.001	2020-04-22 16:51:21
89	0.170524	0.191208	337.104s	0.001	2020-04-22 16:56:58
90	0.170351	0.18726	333.544s	0.001	2020-04-22 17:02:32
91	0.170289	0.187235	173.137s	0.001	2020-04-22 17:05:25
92	0.1702	0.188721	97.5296s	0.001	2020-04-22 17:07:02
93	0.170122	0.189315	112.378s	0.001	2020-04-22 17:08:55
94	0.169958	0.188728	269.998s	0.001	2020-04-22 17:13:25
95	0.169978	0.189221	261.602s	0.001	2020-04-22 17:17:47
96	0.170209	0.190645	276.172s	0.001	2020-04-22 17:22:23
97	0.17089	0.191013	310.33s	0.001	2020-04-22 17:27:33
98	0.170237	0.187059	288.812s	0.001	2020-04-22 17:32:22
99	0.169853	0.18868	254.284s	0.001	2020-04-22 17:36:37
100	0.169921	0.189369	266.378s	0.001	2020-04-22 17:41:03
101	0.170433	0.188189	265.498s	0.001	2020-04-22 17:45:29
102	0.16984	0.189104	258.586s	0.001	2020-04-22 17:49:47
103	0.169766	0.186244	255.895s	0.001	2020-04-22 17:54:03
104	0.169727	0.191398	249.219s	0.001	2020-04-22 17:58:13
105	0.169285	0.193104	255.635s	0.001	2020-04-22 18:02:28
106	0.170911	0.188558	265.024s	0.001	2020-04-22 18:06:54
107	0.170054	0.188049	260.48s	0.001	2020-04-22 18:11:14
108	0.169951	0.190214	261.208s	0.001	2020-04-22 18:15:35
109	0.171105	0.190213	269.098s	0.001	2020-04-22 18:20:05
110	0.169629	0.190345	259.891s	0.001	2020-04-22 18:24:24
111	0.169287	0.187422	262.94s	0.001	2020-04-22 18:28:47
112	0.169174	0.186685	262.745s	0.001	2020-04-22 18:33:10
113	0.169484	0.190612	266.087s	0.001	2020-04-22 18:37:36
114	0.16964	0.191218	272.661s	0.001	2020-04-22 18:42:09
115	0.169598	0.185478	267.101s	0.001	2020-04-22 18:46:36
116	0.169192	0.18869	269.519s	0.001	2020-04-22 18:51:06
117	0.169352	0.187723	264.142s	0.001	2020-04-22 18:55:30
118	0.169218	0.187267	261.559s	0.001	2020-04-22 18:59:52
119	0.170744	0.186464	254.987s	0.001	2020-04-22 19:04:07
120	0.169612	0.18875	260.251s	0.001	2020-04-22 19:08:27
121	0.170299	0.187222	255.066s	0.001	2020-04-22 19:12:42
122	0.168845	0.186401	255.343s	0.001	2020-04-22 19:16:58
123	0.168638	0.185576	253.906s	0.001	2020-04-22 19:21:12
124	0.169055	0.185556	266.648s	0.001	2020-04-22 19:25:38
125	0.168761	0.187167	269.153s	0.001	2020-04-22 19:30:08
126	0.172654	0.189878	279.695s	0.001	2020-04-22 19:34:47
127	0.169664	0.186011	286.54s	0.001	2020-04-22 19:39:34
128	0.1684	0.185482	353.829s	0.001	2020-04-22 19:45:28
129	0.16932	0.201273	412.37s	0.001	2020-04-22 19:52:20
130	0.173009	0.190044	353.615s	0.001	2020-04-22 19:58:14
131	0.170327	0.187245	263.231s	0.001	2020-04-22 20:02:37
132	0.168632	0.187535	259.75s	0.001	2020-04-22 20:06:57
133	0.170113	0.18538	292.938s	0.001	2020-04-22 20:11:50
134	0.170586	0.185144	423.287s	0.001	2020-04-22 20:18:53
135	0.172598	0.197871	280.006s	0.001	2020-04-22 20:23:33
136	0.171312	0.189001	265.188s	0.001	2020-04-22 20:27:59
137	0.171898	0.188123	255.452s	0.001	2020-04-22 20:32:14
138	0.170603	0.187124	287.933s	0.001	2020-04-22 20:37:02
139	0.16962	0.184649	301.695s	0.001	2020-04-22 20:42:04
140	0.171217	0.191733	263.712s	0.001	2020-04-22 20:46:28
141	0.169879	0.187264	262.785s	0.001	2020-04-22 20:50:51
142	0.16924	0.186668	291.071s	0.001	2020-04-22 20:55:42
143	0.168662	0.183626	353.005s	0.001	2020-04-22 21:01:35
144	0.1691	0.187333	262.68s	0.001	2020-04-22 21:05:58
145	0.169967	0.185533	259.056s	0.001	2020-04-22 21:10:17
146	0.168889	0.185013	257.472s	0.001	2020-04-22 21:14:34
147	0.169305	0.20164	258.542s	0.001	2020-04-22 21:18:53
148	0.173558	0.189739	257.257s	0.001	2020-04-22 21:23:10
149	0.16969	0.186256	259.973s	0.001	2020-04-22 21:27:30
150	0.169324	0.187252	262.601s	0.001	2020-04-22 21:31:53
151	0.171406	0.186634	260.091s	0.001	2020-04-22 21:36:13
152	0.169243	0.188272	254.525s	0.001	2020-04-22 21:40:28
153	0.169243	0.188361	258.813s	0.001	2020-04-22 21:44:47
154	0.170855	0.185243	258.22s	0.001	2020-04-22 21:49:05
155	0.169869	0.184567	259.668s	0.001	2020-04-22 21:53:25
156	0.169232	0.185424	260.226s	0.001	2020-04-22 21:57:45
157	0.169755	0.187286	267.435s	0.001	2020-04-22 22:02:12
158	0.169344	0.187626	258.622s	0.001	2020-04-22 22:06:31
159	0.16911	0.188171	270.151s	0.001	2020-04-22 22:11:01
160	0.169862	0.19189	268.877s	0.001	2020-04-22 22:15:30
161	0.171568	0.185602	279.149s	0.001	2020-04-22 22:20:09
162	0.168939	0.187575	274.34s	0.001	2020-04-22 22:24:44
163	0.169822	0.187811	259.639s	0.001	2020-04-22 22:29:04
164	0.168711	0.185124	252.972s	0.001	2020-04-22 22:33:17
165	0.168619	0.204063	254.183s	0.001	2020-04-22 22:37:31
166	0.169937	0.18281	263.619s	0.001	2020-04-22 22:41:54
167	0.168897	0.184699	258.355s	0.001	2020-04-22 22:46:13
168	0.168174	0.186224	260.993s	0.001	2020-04-22 22:50:34
169	0.169516	0.184919	261.366s	0.001	2020-04-22 22:54:55
170	0.17013	0.189284	255.443s	0.001	2020-04-22 22:59:11
171	0.168812	0.183685	265.51s	0.001	2020-04-22 23:03:36
172	0.170332	0.185671	269.383s	0.001	2020-04-22 23:08:06
173	0.169537	0.183395	260.549s	0.001	2020-04-22 23:12:27
174	0.168693	0.184529	257.539s	0.001	2020-04-22 23:16:44
175	0.172507	0.189956	265.953s	0.001	2020-04-22 23:21:10
176	0.170927	0.188741	258.193s	0.001	2020-04-22 23:25:28
177	0.169272	0.185596	255.589s	0.001	2020-04-22 23:29:44
178	0.168665	0.185948	256s	0.001	2020-04-22 23:34:00
179	0.175224	0.192158	260.206s	0.001	2020-04-22 23:38:20
180	0.17132	0.198484	262.191s	0.001	2020-04-22 23:42:43
181	0.173983	0.190611	259.163s	0.001	2020-04-22 23:47:02
182	0.171425	0.190637	259.052s	0.001	2020-04-22 23:51:21
183	0.17132	0.186811	261.864s	0.001	2020-04-22 23:55:43
184	0.170693	0.185069	260.418s	0.001	2020-04-23 00:00:03
185	0.169803	0.192535	264.175s	0.001	2020-04-23 00:04:28
186	0.170315	0.190393	258.762s	0.001	2020-04-23 00:08:46
187	0.170412	0.187429	261.008s	0.001	2020-04-23 00:13:08
188	0.170326	0.185629	254.13s	0.001	2020-04-23 00:17:22
189	0.168998	0.184698	266.503s	0.001	2020-04-23 00:21:48
190	0.169922	0.185775	263.714s	0.001	2020-04-23 00:26:12
191	0.169139	0.183489	258.597s	0.001	2020-04-23 00:30:31
192	0.169134	0.186334	260.814s	0.001	2020-04-23 00:34:52
193	0.168956	0.183827	257.026s	0.001	2020-04-23 00:39:09
194	0.169221	0.193322	265.218s	0.001	2020-04-23 00:43:34
195	0.169385	0.184862	269.729s	0.001	2020-04-23 00:48:04
196	0.168735	0.19039	263.068s	0.001	2020-04-23 00:52:27
197	0.16961	0.183492	265.033s	0.001	2020-04-23 00:56:52
198	0.168472	0.184928	263.292s	0.001	2020-04-23 01:01:15
199	0.169615	0.186221	256.289s	0.001	2020-04-23 01:05:32
200	0.168794	0.198602	269.718s	0.001	2020-04-23 01:10:02
201	0.170115	0.183979	259.359s	0.001	2020-04-23 01:14:21
202	0.168867	0.185535	265.367s	0.001	2020-04-23 01:18:46
203	0.168371	0.184203	269.319s	0.001	2020-04-23 01:23:16
204	0.168499	0.182434	262.913s	0.001	2020-04-23 01:27:39
205	0.169866	0.184232	267.321s	0.001	2020-04-23 01:32:06
206	0.168475	0.183485	260.552s	0.001	2020-04-23 01:36:27
207	0.168181	0.184715	263.389s	0.001	2020-04-23 01:40:50
208	0.170218	0.189857	258.385s	0.001	2020-04-23 01:45:09
209	0.168397	0.184997	263.426s	0.001	2020-04-23 01:49:32
210	0.168529	0.188218	270.041s	0.001	2020-04-23 01:54:02
211	0.170027	0.186558	259.961s	0.001	2020-04-23 01:58:22
212	0.178299	0.197915	261.64s	0.001	2020-04-23 02:02:44
213	0.173815	0.191293	277.063s	0.001	2020-04-23 02:07:21
214	0.170199	0.190168	259.214s	0.001	2020-04-23 02:11:40
215	0.169215	0.184571	258.188s	0.001	2020-04-23 02:15:59
216	0.168604	0.187039	263.745s	0.001	2020-04-23 02:20:22
217	0.169234	0.184675	253.53s	0.001	2020-04-23 02:24:36
218	0.168282	0.184432	256.421s	0.001	2020-04-23 02:28:53
219	0.168823	0.186947	261.005s	0.001	2020-04-23 02:33:14
220	0.168918	0.184556	262.475s	0.001	2020-04-23 02:37:36
221	0.168999	0.186183	258.94s	0.001	2020-04-23 02:41:55
222	0.169193	0.183091	263.67s	0.001	2020-04-23 02:46:19
223	0.16778	0.183567	263.703s	0.001	2020-04-23 02:50:43
224	0.168001	0.186497	263.62s	0.001	2020-04-23 02:55:06
225	0.170238	0.184588	257.842s	0.001	2020-04-23 02:59:24
226	0.168345	0.183286	259.961s	0.001	2020-04-23 03:03:44
227	0.167677	0.183307	271.58s	0.001	2020-04-23 03:08:16
228	0.168554	0.191528	258.468s	0.001	2020-04-23 03:12:34
229	0.17073	0.18851	256.471s	0.001	2020-04-23 03:16:51
230	0.170713	0.184524	264.808s	0.001	2020-04-23 03:21:16
231	0.169797	0.186416	261.839s	0.001	2020-04-23 03:25:38
232	0.169947	0.184906	264.414s	0.001	2020-04-23 03:30:02
233	0.167687	0.182236	258.668s	0.001	2020-04-23 03:34:21
234	0.168352	0.184717	271.22s	0.001	2020-04-23 03:38:52
235	0.16794	0.187451	264.178s	0.001	2020-04-23 03:43:17
236	0.168402	0.185693	266.468s	0.001	2020-04-23 03:47:43
237	0.168123	0.183473	263.662s	0.001	2020-04-23 03:52:07
238	0.167888	0.184237	261.035s	0.001	2020-04-23 03:56:28
239	0.168385	0.183715	265.505s	0.001	2020-04-23 04:00:53
240	0.167994	0.18427	262.789s	0.001	2020-04-23 04:05:16
241	0.170072	0.187662	268.045s	0.001	2020-04-23 04:09:44
242	0.167796	0.183373	265.915s	0.001	2020-04-23 04:14:10
243	0.172775	0.189856	265.028s	0.001	2020-04-23 04:18:35
244	0.170113	0.183903	260.332s	0.001	2020-04-23 04:22:56
245	0.168105	0.185095	263.891s	0.001	2020-04-23 04:27:20
246	0.16941	0.184907	258.595s	0.001	2020-04-23 04:31:39
247	0.168749	0.185364	271.339s	0.001	2020-04-23 04:36:10
248	0.170674	0.188125	273.68s	0.001	2020-04-23 04:40:44
249	0.169603	0.184672	266.496s	0.001	2020-04-23 04:45:10
250	0.16782	0.182773	263.306s	0.001	2020-04-23 04:49:34
251	0.167488	0.181782	261.465s	0.001	2020-04-23 04:53:55
252	0.16813	0.181822	257.95s	0.001	2020-04-23 04:58:13
253	0.168634	0.202765	258.607s	0.001	2020-04-23 05:02:32
254	0.171815	0.185014	254.273s	0.001	2020-04-23 05:06:46
255	0.169356	0.18547	265.318s	0.001	2020-04-23 05:11:12
256	0.16802	0.183506	264.923s	0.001	2020-04-23 05:15:37
257	0.169274	0.184949	266.203s	0.001	2020-04-23 05:20:03
258	0.168282	0.183722	259.528s	0.001	2020-04-23 05:24:22
259	0.168597	0.183264	261.261s	0.001	2020-04-23 05:28:44
260	0.170564	0.185946	257.265s	0.001	2020-04-23 05:33:01
261	0.170875	0.183626	263.688s	0.001	2020-04-23 05:37:25
262	0.167893	0.182352	261.998s	0.001	2020-04-23 05:41:47
263	0.16723	0.184223	252.331s	0.001	2020-04-23 05:45:59
264	0.171123	0.194762	262.15s	0.001	2020-04-23 05:50:21
265	0.169346	0.182581	259.952s	0.001	2020-04-23 05:54:41
266	0.167746	0.18262	255.319s	0.001	2020-04-23 05:58:57
267	0.174602	0.187624	259.609s	0.001	2020-04-23 06:03:17
268	0.169334	0.184767	256.689s	0.001	2020-04-23 06:07:33
269	0.16807	0.182897	254.841s	0.001	2020-04-23 06:11:48
270	0.167801	0.181052	262.558s	0.001	2020-04-23 06:16:11
271	0.168677	0.18328	267.361s	0.001	2020-04-23 06:20:38
272	0.168713	0.197572	265.076s	0.001	2020-04-23 06:25:03
273	0.168848	0.183556	268.045s	0.001	2020-04-23 06:29:32
274	0.168079	0.182537	265.067s	0.001	2020-04-23 06:33:57
275	0.168333	0.18124	280.02s	0.001	2020-04-23 06:38:37
276	0.167998	0.185469	286.619s	0.001	2020-04-23 06:43:23
277	0.167416	0.182536	141.495s	0.001	2020-04-23 06:45:45
278	0.168545	0.181569	139.744s	0.001	2020-04-23 06:48:05
279	0.168663	0.183307	145.846s	0.001	2020-04-23 06:50:31
280	0.168119	0.182496	144.531s	0.001	2020-04-23 06:52:55
281	0.167934	0.189321	132.693s	0.001	2020-04-23 06:55:08
282	0.168332	0.185779	144.581s	0.001	2020-04-23 06:57:33
283	0.168786	0.189493	137.822s	0.001	2020-04-23 06:59:51
284	0.16855	0.181561	129.831s	0.001	2020-04-23 07:02:00
285	0.166781	0.182573	135.074s	0.001	2020-04-23 07:04:16
286	0.167847	0.182464	129.012s	0.001	2020-04-23 07:06:25
287	0.168672	0.184526	137.739s	0.001	2020-04-23 07:08:42
288	0.168138	0.184451	137.7s	0.001	2020-04-23 07:11:00
289	0.170847	0.18976	125.361s	0.001	2020-04-23 07:13:06
290	0.17234	0.201041	131.231s	0.001	2020-04-23 07:15:17
291	0.171973	0.184029	137.554s	0.001	2020-04-23 07:17:34
292	0.168456	0.184477	135.606s	0.001	2020-04-23 07:19:50
293	0.168519	0.182682	148.637s	0.001	2020-04-23 07:22:19
294	0.167818	0.182213	140.634s	0.001	2020-04-23 07:24:40
295	0.16708	0.181377	129.865s	0.001	2020-04-23 07:26:49
296	0.166931	0.181646	132.067s	0.001	2020-04-23 07:29:02
297	0.171035	0.185358	152.549s	0.001	2020-04-23 07:31:34
298	0.168965	0.181158	149.303s	0.001	2020-04-23 07:34:04
299	0.168721	0.182145	138.838s	0.001	2020-04-23 07:36:22
300	0.167737	0.1817	157.269s	0.001	2020-04-23 07:39:00
